# Hostinger International Limited,,,,
# Prefixes located at Australia - Sydney,,,,
72.60.192.0/21,MY,,Kuala Lumpur,
72.60.208.0/22,MY,,Kuala Lumpur,
72.60.232.0/21,MY,,Kuala Lumpur,
72.61.112.0/20,MY,,Kuala Lumpur,
72.61.148.0/22,MY,,Kuala Lumpur,
72.62.64.0/20,MY,,Kuala Lumpur,
72.62.192.0/21,MY,,Kuala Lumpur,
72.62.240.0/20,MY,,Kuala Lumpur,
76.13.176.0/20,MY,,Kuala Lumpur,
145.79.24.0/21,MY,,Kuala Lumpur,
148.222.53.0/24,MY,,Kuala Lumpur,
2a02:4780:5::/48,MY,,Kuala Lumpur,
2a02:4780:5c::/48,MY,,Kuala Lumpur,
2a02:4780:5d::/48,MY,,Kuala Lumpur,
2a02:4780:5e::/48,MY,,Kuala Lumpur,
2a02:4780:5f::/48,MY,,Kuala Lumpur,
2a02:4780:60::/48,MY,,Kuala Lumpur,
2a02:4780:6a::/48,MY,,Kuala Lumpur,
# Prefixes located at Netherlands - Meppel,,,,
2.57.88.0/23,NL,,Meppel,
31.187.76.0/24,NL,,Meppel,
45.9.188.0/22,NL,,Meppel,
45.87.80.0/22,NL,,Meppel,
45.95.180.0/22,NL,,Meppel,
77.37.52.0/23,NL,,Meppel,
77.37.82.0/23,NL,,Meppel,
81.16.28.0/22,NL,,Meppel,
82.180.155.0/24,NL,,Meppel,
89.116.52.0/23,NL,,Meppel,
89.116.139.0/24,NL,,Meppel,
89.116.152.0/24,NL,,Meppel,
89.116.226.0/23,NL,,Meppel,
91.108.98.0/24,NL,,Meppel,
93.127.178.0/23,NL,,Meppel,
109.106.240.0/21,NL,,Meppel,
145.14.148.0/22,NL,,Meppel,
145.14.156.0/22,NL,,Meppel,
153.92.216.0/21,NL,,Meppel,
179.61.219.0/24,NL,,Meppel,
179.61.246.0/24,NL,,Meppel,
181.215.68.0/23,NL,,Meppel,
185.77.96.0/24,NL,,Meppel,
185.124.108.0/24,NL,,Meppel,
185.124.109.0/24,NL,,Meppel,
185.166.188.0/24,NL,,Meppel,
185.206.160.0/23,NL,,Meppel,
185.224.136.0/22,NL,,Meppel,
185.237.146.0/23,NL,,Meppel,
191.96.1.0/24,NL,,Meppel,
191.96.53.0/24,NL,,Meppel,
191.96.63.0/24,NL,,Meppel,
191.101.231.0/24,NL,,Meppel,
193.42.136.0/24,NL,,Meppel,
193.160.66.0/23,NL,,Meppel,
194.5.156.0/24,NL,,Meppel,
194.5.158.0/24,NL,,Meppel,
194.5.159.0/24,NL,,Meppel,
194.31.150.0/24,NL,,Meppel,
195.35.52.0/23,NL,,Meppel,
195.179.193.0/24,NL,,Meppel,
212.107.16.0/23,NL,,Meppel,
2a02:4780:8::/48,NL,,Meppel,
2a02:4780:d::/48,NL,,Meppel,
2a02:4780:23::/48,NL,,Meppel,
2a02:4780:24::/48,NL,,Meppel,
2a02:4780:32::/48,NL,,Meppel,
2a02:4780:33::/48,NL,,Meppel,
# Prefixes located at Singapore - Singapore,,,,
5.181.216.0/23,SG,,Singapore,
31.187.75.0/24,SG,,Singapore,
31.220.6.0/24,SG,,Singapore,
31.220.110.0/24,SG,,Singapore,
37.44.244.0/23,SG,,Singapore,
45.13.132.0/23,SG,,Singapore,
45.13.254.0/23,SG,,Singapore,
45.80.180.0/22,SG,,Singapore,
45.90.228.0/22,SG,,Singapore,
45.130.228.0/22,SG,,Singapore,
45.137.158.0/24,SG,,Singapore,
45.143.80.0/23,SG,,Singapore,
46.17.172.0/23,SG,,Singapore,
77.37.48.0/24,SG,,Singapore,
77.37.66.0/24,SG,,Singapore,
77.37.75.0/24,SG,,Singapore,
77.37.115.0/24,SG,,Singapore,
82.180.152.0/24,SG,,Singapore,
83.136.216.0/23,SG,,Singapore,
89.116.179.0/24,SG,,Singapore,
89.116.230.0/23,SG,,Singapore,
91.108.100.0/24,SG,,Singapore,
93.127.187.0/24,SG,,Singapore,
93.127.196.0/24,SG,,Singapore,
93.127.201.0/24,SG,,Singapore,
109.106.252.0/22,SG,,Singapore,
141.136.47.0/24,SG,,Singapore,
147.93.78.0/23,SG,,Singapore,
151.106.112.0/20,SG,,Singapore,
153.92.4.0/23,SG,,Singapore,
156.67.208.0/20,SG,,Singapore,
179.61.188.0/24,SG,,Singapore,
179.61.189.0/24,SG,,Singapore,
181.215.78.0/23,SG,,Singapore,
185.187.240.0/23,SG,,Singapore,
185.201.8.0/23,SG,,Singapore,
185.210.144.0/22,SG,,Singapore,
185.214.124.0/23,SG,,Singapore,
185.229.112.0/23,SG,,Singapore,
185.229.118.0/24,SG,,Singapore,
185.232.14.0/24,SG,,Singapore,
185.237.144.0/23,SG,,Singapore,
191.96.57.0/24,SG,,Singapore,
191.101.3.0/24,SG,,Singapore,
191.101.228.0/24,SG,,Singapore,
191.101.229.0/24,SG,,Singapore,
191.101.230.0/24,SG,,Singapore,
193.168.192.0/23,SG,,Singapore,
193.168.194.0/23,SG,,Singapore,
194.31.53.0/24,SG,,Singapore,
194.59.164.0/23,SG,,Singapore,
194.163.32.0/21,SG,,Singapore,
194.163.40.0/22,SG,,Singapore,
195.35.62.0/23,SG,,Singapore,
213.190.4.0/24,SG,,Singapore,
217.21.72.0/22,SG,,Singapore,
2a02:4780:3::/48,SG,,Singapore,
2a02:4780:e::/48,SG,,Singapore,
